name,id,description,prerequisites,section,grades,credits
Foundations in Art,65H124,"Students in this half-year introductory course explore the elements and principles of design using a variety of artists’ media in a creative working environment. Acrylic paints, color-pencils, and graphite are just some of the possible media that will be introduced. Art history and current issues in art may be studied as they relate to each project. This course meets daily for one semester. Successful completion of Foundations in Art is the minimal prerequisite for entry into all studio art electives other than Pre-AP Art and Design, AP Art and Design, and Advanced Studio Art which require the completion of Studio Art. This course meets every day for one semester.",None,Art,"Grades 9, 10, 11, 12",½ credit
Studio Art,65F122,"Students in this full-year introductory course explore the elements and principles of design using a variety of artists’ media in a creative working environment. Acrylic paints, color pencils, and graphite are just some of the possible mediums that will be introduced. Art history and current issues in art may be studied as they relate to each art project. Studio art is a foundational course which serves as the main prerequisite for most other art courses. This course meets every day for the year.",None,Art,"Grades 9, 10, 11, 12",1 credit
Advanced Studio Art I,65F151V,"This is a more rigorous, Honors-level, full year course for serious and highly motivated students. Students will continue to work on projects that cover the elements and principles of design while using a variety of medium. Students will have the opportunity to develop independent work as well as follow teacher directed, class assignments. Drawing, Painting and Sculpture will be the main visual art forms used in this course. This course meets every day for the year.",Art teacher recommendation and successful completion of Studio Art.,Art,"Grades 10, 11, 12",1 credit (W: +0.25)
Advanced Studio Art II,65F152V,"This is a more rigorous, Honors-level, full-year course for serious and highly motivated students who will have the flexibility to work independently on unique, creative projects or follow teacher directed assignments. Projects can be used to round out or refine a portfolio or satisfy a personal creative interest. Drawing, Painting and Sculpture will be the main visual art forms used in this course. This course meets every day for the year.",Art teacher recommendation and successful completion of Advanced I.,Art,"Grades 11, 12",1 credit (W: +0.25)
Pre-AP® Art and Design,65F160A,"This course is the first part of a rigorous two-year program which enables highly motivated students to perform at in high school. Though a highly motivated student may conceivably complete the AP portfolio in one year, each student should expect to work two years (10th - 11th grade or 11th - 12th grade) in the program. Students in Pre-AP Art and Design begin the process of developing either a Drawing, 2D, or 3D portfolio that is a required component of the AP Art and Design exam and may also be used for college entrance presentations and scholarship competitions. Guided by inquiry, students will create and build skills through exploration, practice, and experimentation. They will explore materials and processes as well as be required to communicate their ideas and principles of art and design through written and visual expression. Students are expected to create art in class and at home. They are required to attend, on a weekly basis, one of the Life Drawing workshops offered either after school or in the evening. This course meets every day for the year.","Successful completion of Studio Art or Foundations in Art, recommendation by the Art teacher, portfolio review, and approval of the Pre-AP Studio Art teacher.",Art,"Grades 10, 11",1 credit (W: +0.25)
AP® Art and Design,65F165A,"This most rigorous course is the second part of a two-year program which enables highly motivated students to perform at the college level while still in high school. Students will continue to develop their portfolio and supportive writing that is a required component of the AP Art and Design Exam and which may also be used for college entrance presentations and scholarship competitions. Students enrolled in AP Art and Design must attend, on a weekly basis, one of the Life Drawing workshops offered either after school or in the evening. The expectation is that AP Art and Design students will spend a substantial amount of additional time completing artistic works related to their area of investigation. Students are required to submit a portfolio of work and supporting writing to the AP College Board in May. This course meets every day for the year.","Successful completion of Pre-AP Art and Design, portfolio review and recommendation by the Pre-AP Art and Design teacher.",Art,1 credit (W: + 0.5),"Grades 11, 12"
AP® Art History,65F167A,"This most rigorous course is designed to allow students to examine major forms of artistic expression relevant to a variety of cultures evident in a wide range of periods from present times into the past. Students will acquire an ability to examine works of art critically, with intelligence and sensitivity, and to articulate their thoughts and experiences. Students are required to take the AP Art History exam in May. This course meets every day for the year.",None,Art,"Grades: 11, 12",1 credit (W: +0.5)
Architectural Drawing I,65H111,"Students in this course study the basics of architecture and house construction. This may include the design of a dwelling, the generation of a set of architectural plans, model building, and the use of CAD (computer-assisted drawing) technology. This course meets every day for one semester.",None,Art,"Grades 9, 10, 11, 12",½ credit
Architectural Drawing II,65H112,"This course continues the study of architecture and house construction design. This course may include the exploration of kitchen and bath design, model building, as well as building styles and architectural history. This course meets every day for one semester.",Successful completion of Architectural Drawing I.,Art,"Grades 9, 10, 11, 12",½ credit
Drawing II,65H134,"Drawing is the core skill that drives all other endeavors in the visual arts. In this class, students will begin to explore various drawing media as well as concepts inherent in the act of drawing. The first skill that a student must master is the ability to truly see the intended subject; therefore, an emphasis will be placed on differentiating what we know about an object and what we see. Graphite, charcoal, pen & ink, and color pencils will be the primary media used in Drawing I. This course meets every day for one semester. This course is designed for students who are self-motivated and want to further explore drawing in a variety of media. Color pencil, pastels, oil pastels, ink, and scratchboard are all media that may be introduced. This course meets every day for one semester.","Successful completion of Advanced 8th Grade Art, Foundations in Art or Studio Art. Art teacher recommendation and successful completion of Drawing I.",Art,"Grades 10, 11, 12",½ credit
Drawing III,65H143,"This course is a continuation of Drawing I & II on a more advanced level for students who are self-motivated and wish to continue their exploration of drawing in a variety of media. Students may explore a range of mediums including but not limited to charcoal, pastels, oil pastels, ink, color pencil, monoprints, and scratchboard. Subject matter will be varied and concepts will be developed independently by each student with teacher approval. This course meets every day for one semester.",Art teacher recommendation and successful completion of Drawing I & II or Painting I & II.,Art,"Grades 10, 11, 12",½ credit
Drawing IV,65H144,"This course is a continuation of Drawing I, II, and III on a more advanced level for students who are self-motivated and wish to continue their exploration of drawing in a variety of media. Students may explore a range of mediums including but not limited to charcoal, pastels, oil pastels, ink, color pencil, monoprints, and scratchboard. Subject matter will be varied and concepts will be developed independently by each student with teacher approval. This course meets every day for one semester.","Art teacher recommendation and successful completion of Drawing I, II, & III or Painting I, II, & III.",Art,"Grades 10, 11, 12",½ credit
Painting I,65H135,"This course is designed to introduce a student to various painting methods and media. The concepts of Value (tint and shade), Chroma (bright and dull), and Color theory will be explored. Watercolor and Acrylics are the primary media used in Painting I. Subject matter could include self-portrait, still life, and landscape. This course meets every day for one semester.","Successful completion of either Advanced 8th grade art, Foundations in Art or Studio Art.",Art,"Grades 10, 11, 12",½ credit
Painting II,65H136,"This course is designed for students who have completed Painting 1 and want to further explore painting in a variety of media. In addition to watercolors and acrylics, oils may be introduced. Abstraction and direct observation are two approaches to Painting that may be addressed in the class. Other subject matter will be varied and concepts from Painting I will be reinforced. This course meets every day for one semester.",Painting I.,Art,"Grades 10, 11, 12",½ credit
Painting III,65H145,"This course is a continuation of Painting I & II on a more advanced level. Students will refine their skills with watercolors, acrylics, and oils. Direct observation and independent projects will be more deeply addressed in the class. This course meets every day for one semester.",Successful completion of Painting I & II.,Art,"Grades 10, 11, 12",½ credit
Painting IV,65H146,"This course is a continuation of Painting I, II & III on an advanced level. Students will use their previously developed skills with watercolors, acrylics, and oils to work independently. Students will have the opportunity to develop their own ideas for projects with teacher approval. This course meets every day for one semester.","Successful completion of Painting I, II, & III.",Art,"Grades 10, 11, 12",½ credit
Computer Graphics I,65H171,Students will explore the components of the Adobe Creative Suite to create artwork that emphasizes the elements and principles of design. Students learn to solve problems and become critical thinkers using the computer as a tool for image making and design. This course meets every day for one semester.,"Successful completion of Advanced 8th Gr. Art, Foundations in Art, or Studio Art.",Art,"Grades 10, 11, 12",½ credit
Computer Graphics II,65H172,This course is a continuation of Computer Graphics I on an advanced level. Students will refine their skills with the Adobe Creative Suite and other software packages to produce graphics and artwork on a high level. This course meets every day for one semester.,Successful completion of Computer Graphics I.,Art,"Grades 10, 11, 12",½ credit
Computer Graphics III,65H173,This course is for advanced students who want to further their knowledge in the field of Fine Art and Graphic Design. Coursework may integrate digital video and concepts of media arts. This course meets every day for one semester.,Successful completion of Computer Graphics II.,Art,"Grades 11, 12",½ credit
Digital Photography,65H180,"This course will help students explore the fundamentals of digital photography.  Four areas of instruction will be emphasized: developing a basic understanding of how cameras work, composition, lighting and use of photo editing software. At the end of this course students will know how to use various features of the camera to have creative control of photographs, be able to decide what type of lighting to use in a given situation to produce optimum results, see how photographic composition can make or break a photograph and understand how to use basic photo editing software to improve the overall appearance of images. This course meets every day for one semester","Successful completion of Advanced 8th Gr. Art, Foundations in Art, or Studio Art.",Art,"Grades 10, 11, 12",½ credit
Digital Photography II,65H1802,"This course is a continuation of Digital Photography I on an advanced level.  Students will refine their skills in camera utilization, composition, lighting and advanced use of photo editing software to have increased creative control of photographs and produce optimal photographic results.  This course meets every day for one semester.",Successful completion of Digital Photography I.,Art,"Grades 10, 11, 12",½ credit
3D Printing & Design,65H166,"This course will focus on designing and producing three-dimensional work using Sketch Up or similar CAD software. Production techniques will be explored, including creating models of student work by hand and by using 3D printers. Students who complete this course will have knowledge of principles of design thinking and will be able to use these principles to solve real-world problems. This course meets every day for one semester.","Advanced 8th Gr. Art, Foundations in Art, or Studio Art.",Art,"Grades 9, 10, 11, 12",½ credit
Introduction to Business,45H806,,None,Business,"Grades 9, 10, 11, 12",½ credit
Accounting I,45H807,"Accounting is the backbone of any business. Students who take this course will have a marketable skill for a lifetime. This course covers a broad range of accounting principles. Using computers, students will work through the accounting cycle and end-of-year procedures for a business, including instruction in special journals, posting, trial balancing, work sheets, financial statements, adjustments, and closing ledgers. Students will use the game of Monopoly to synthesize all the concepts learned in this course as they create their own real estate company. This class meets every day for one semester.",None,Business,"Grades 10, 11, 12",½ credit
Business Law (Rotated into schedule for 2024-2025 - alternates with Business,45H804,"In this course, students will gain an understanding of the law as it relates to them. Students will learn the role the law can play in their future and in the lives of their family and friends. They will also work to gain a greater understanding of basic legal vocabulary. Topics to be covered include torts, contracts, personal property, landlord/tenant, credit and debt, and employee rights and responsibilities. Students will analyze real cases from history and from courtroom TV shows and will simulate courtroom cases in class. This class meets every day for one semester.",None,Business,½ credit,"Grades 10, 11, 12"
